,Paastekomando_nimetus,Paastepiirkond,Koosseis,Pidevalt_valves,Aadress,Paastekomando_pealik,Pealiku_telefon,Teenus,Teenus_2,Teenus_3,Asukoht_N,Asukoht_E,Teenus_4,Teenus_5,Teenus_6,Teenus_7
57,Suure-Jaani Paastekomando,Viljandimaa,22,4,"Oja  2 B,  Suure-Jaani, 71503",Rauno Ruut,"4372112, 53012632",Baasteenus,Vee transport 2,Veepaaste 2,58.52834,25.4641,Metsakustutus 3,,,
58,Tabivere Paastekomando,Tartumaa,22,4,"Same tee 1, Tabivere alevik, 49101",Imre Toekalju,"7736601, 5279668",Baasteenus,Vee transport 2,Veepaaste 2 ja 3,58.5474,26.59817,Metsakustutus 3,vahtkustutus 3,,
59,Tapa Paastekomando,Laane-Virumaa,22,4,"Pikk 18A, Tapa,  45106",Aron Jaanis,"3271100, 55677067",Baasteenus,Vee transport 2,Veepaaste 2,59.26055,25.96322,Metsakustutus 3,,,
60,Tartu Paastekomando,Tartumaa,22,4,"Kalevi 20 A, Tartu,  51010",Igor Galjutin,"7343099, 53303446",Baasteenus,Päästetöö transport 2 ja 6,Naftareostuskorje 3,58.37424,26.73051,Veepaaste 2,Vahtkustustus 3,,
61,Torva Paastekomando,Valgamaa,22,4,"Metsa 1A, Torva, 68605",Alor Kasepold,"7632155, 5170447",Baasteenus,Vee transport 2,Veepaaste 2 ja 3,58.00157,25.92323,Metsakustutus 3,,,
62,Tostamaa Paastekomando,Parnumaa,11,2,"Parnu mnt 2 A,Tostamaa alevik,  88101",Mait Janson,"4496132, 53482101",Tulekustutus,Vee transport 2,Veepaaste 4,58.33487,23.99457,,,,
63,Tyri Paastekomando,Jarvamaa,22,4,"Ferdinand Johann Wiedemanni 2, Tyri, 72210",Eilo Eesmae,"3851222, 5083899",Baasteenus,"Vee transport 2, 3 ja 4",Veepaaste 2,58.80921,25.43058,,,,
64,Valga Paastekomando,Valgamaa,22,4,"Karja 16, Valga, 68207",Raivo Pavlovitsh,"7669720, 53408612",Baasteenus,"Vee transport 2, 3 ja 4",Veepaaste 2,57.7847,26.06017,Metsakustutus 3,Päästetöö transport 3,,
65,Vastseliina Paastekomando,Vorumaa,17,3,"Pätisilla tee 6, Vastseliina alevik, 65201",Aivar Lai,"7851001, 5242920",Baasteenus,Vee transport 2,,57.73391,27.270011,,,,
66,Viljandi Paastekomando,Viljandimaa,28,5,"Riia mnt 6, Viljandi, 71020",Mait Murk,"4354522, 5233137",Baasteenus,Vee transport 2,Veepaaste 2 ja 3,58.36121,25.58218,Metsakustutus 2 ja 3,Päästetöö transport 3,Kõrgustest päästetöö 2,
67,Vormsi Paastekomando,Laanemaa,4,1,"Hullo, Vormsi v, 91301",Kaido Valm,53001306,Tulekustutus,Vee transport 2,Metsakustustus 3,58.98915,23.24618,,,,
68,Võru Paastekomando,Võrumaa,27,5,"Rapina mnt 20 A, Voru, 65606",Erki Land,"7827121, 5231817",Baasteenus,Vee transport 2,Metsakustustus 3,57.84437,27.02247,Veepaaste 2 ja 3,Kõrgustest pääste 2,Päästetöö transport 3,
69,Vaike-Maarja Paastekomando,Laane-Virumaa,22,4,"Ebavere, Vaike-Maarja alevik, 46209",Mati Koiv,"3261801, 5201321",Baasteenus,Vee transport 2,Päästetöö transport 2,59.11333,26.23606,Metsakustutus 2,,,
70,Vandra Paastekomando,Parnumaa,22,4,"Allikõnnu küla, Põhja-Pärnumaa vald,  87604",Rein Kontus,"4464554, 53000122",Baasteenus,Vee transport 2,,58.653248,25.000206,,,,
71,Värska Paastekomando,Võrumaa,11,2,"Jarvesuu 11, Varska alevik, 64001",Raivo Kunst,"7964747, 5290218",Tulekustutus,Vee transport 2,Metsakustutus 3,57.95961,27.63306,,,,
